sampleId	data_type	TF	timepoint	IP_tag	rep	complex	control	peakType	color
An_laeA_del_kdmB_del_48h_polII_1	polII	laeA_del_kdmB_del	48h	polII	1	kdmB	An_untagged_48h_polII_1	.	white,red
An_laeA_del_kdmB_del_48h_polII_2	polII	laeA_del_kdmB_del	48h	polII	2	kdmB	An_untagged_48h_polII_2	.	white,red
An_laeA_kdmB_del_20h_HA_1	TF	laeA_kdmB_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,red
An_laeA_kdmB_del_48h_HA_1	TF	laeA_kdmB_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,red
An_rpdA_20h_HA_1	TF	rpdA	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#3300D4
An_rpdA_20h_HA_2	TF	rpdA	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#3300D4
An_rpdA_48h_HA_1	TF	rpdA	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#3300D4
An_rpdA_48h_HA_2	TF	rpdA	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#3300D4
An_rpdA_kdmB_del_20h_HA_1	TF	rpdA_kdmB_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#3300D4
An_rpdA_kdmB_del_20h_HA_2	TF	rpdA_kdmB_del	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#3300D4
An_rpdA_kdmB_del_48h_HA_1	TF	rpdA_kdmB_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#3300D4
An_rpdA_kdmB_del_48h_HA_2	TF	rpdA_kdmB_del	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#3300D4
An_rpdA_sntB_del_20h_HA_1	TF	rpdA_sntB_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#3300D4
An_rpdA_sntB_del_20h_HA_2	TF	rpdA_sntB_del	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#3300D4
An_rpdA_sntB_del_48h_HA_1	TF	rpdA_sntB_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#3300D4
An_rpdA_sntB_del_48h_HA_2	TF	rpdA_sntB_del	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#3300D4
An_rpdA_teton_20h_polII_1	polII	rpdA_teton	20h	polII	1	kdmB	An_untagged_20h_polII_1	.	white,red
An_rpdA_teton_20h_polII_2	polII	rpdA_teton	20h	polII	2	kdmB	An_untagged_20h_polII_2	.	white,red
An_rpdA_teton_48h_polII_1	polII	rpdA_teton	48h	polII	1	kdmB	An_untagged_48h_polII_1	.	white,red
An_rpdA_teton_48h_polII_2	polII	rpdA_teton	48h	polII	2	kdmB	An_untagged_48h_polII_2	.	white,red
An_sntB_20h_HA_1	TF	sntB	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#008159
An_sntB_20h_HA_2	TF	sntB	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#008159
An_sntB_48h_HA_1	TF	sntB	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#008159
An_sntB_48h_HA_2	TF	sntB	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#008159
An_sntB_del_20h_polII_1	polII	sntB_del	20h	polII	1	kdmB	An_untagged_20h_polII_1	.	white,red
An_sntB_del_20h_polII_2_FAIL	polII	sntB_del	20h	polII	2_FAIL	kdmB	An_untagged_20h_polII_2	.	white,red
An_sntB_del_48h_polII_1	polII	sntB_del	48h	polII	1	kdmB	An_untagged_48h_polII_1	.	white,red
An_sntB_del_48h_polII_2	polII	sntB_del	48h	polII	2	kdmB	An_untagged_48h_polII_2	.	white,red
An_sntB_kdmB_del_20h_HA_1	TF	sntB_kdmB_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#008159
An_sntB_kdmB_del_20h_HA_2	TF	sntB_kdmB_del	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#008159
